books,hers_NNS,her_PRP,her_PRP$,her_NNP
CC_norm,99999.99999999999,0.956703910614525,1.0082468741686619,1.0
HP1_norm,1.0,1.0,1.0,1.0
HP7_norm,99999.99999999999,0.7896505376344081,1.0336661546338966,537.63440860215
